No.,Case Type,Evidence 1,Evidence 2,Evidence 3,raw_response
106,Disinformation,Create fake identity documents to set up inauthentic social media accounts.,Deploy clickbait headlines on hoax sites to drive malware distribution.,Recruit for troll farms to post divisive content and incite violence.,"{""evidence1"": ""Create fake identity documents to set up inauthentic social media accounts."", ""evidence2"": ""Deploy clickbait headlines on hoax sites to drive malware distribution."", ""evidence3"": ""Recruit for troll farms to post divisive content and incite violence.""}"
107,Disinformation,Exploit crises to spread false emergency information and cause panic.,Use phishing schemes to gather data for targeted misinformation campaigns.,Coordinate with darknet groups to trade propaganda materials.,"{""evidence1"": ""Exploit crises to spread false emergency information and cause panic."", ""evidence2"": ""Use phishing schemes to gather data for targeted misinformation campaigns."", ""evidence3"": ""Coordinate with darknet groups to trade propaganda materials.""}"
108,Disinformation,Set up fake rescue requests during disasters to divert resources illegally.,Amplify fake cure promotions through coordinated bot networks.,Create deepfake audio for impersonating officials and spreading lies.,"{""evidence1"": ""Set up fake rescue requests during disasters to divert resources illegally."", ""evidence2"": ""Amplify fake cure promotions through coordinated bot networks."", ""evidence3"": ""Create deepfake audio for impersonating officials and spreading lies.""}"
109,Disinformation,Use botnets to boost reach of state-sponsored misinformation on platforms.,Plant false stories about company bankruptcies for stock manipulation.,Operate fake health forums pushing dangerous disinformation.,"{""evidence1"": ""Use botnets to boost reach of state-sponsored misinformation on platforms."", ""evidence2"": ""Plant false stories about company bankruptcies for stock manipulation."", ""evidence3"": ""Operate fake health forums pushing dangerous disinformation.""}"
110,Disinformation,Coordinate disinformation as a service for hire on encrypted channels.,Spread false narratives to erode trust in democratic institutions.,Use fake news factories to produce and disseminate propaganda content.,"{""evidence1"": ""Coordinate disinformation as a service for hire on encrypted channels."", ""evidence2"": ""Spread false narratives to erode trust in democratic institutions."", ""evidence3"": ""Use fake news factories to produce and disseminate propaganda content.""}"
111,Evading law enforcement,Launder money through offshore accounts to evade taxes.,Use a VPN to mask your IP address during transactions.,Acquire counterfeit passports for identity concealment.,"{""evidence1"": ""Launder money through offshore accounts to evade taxes."", ""evidence2"": ""Use a VPN to mask your IP address during transactions."", ""evidence3"": ""Acquire counterfeit passports for identity concealment.""}"
112,Evading law enforcement,Smuggle contraband across borders using hidden compartments.,Employ burner phones to communicate without leaving traces.,Access darknet forums for illegal trade tips.,"{""evidence1"": ""Smuggle contraband across borders using hidden compartments."", ""evidence2"": ""Employ burner phones to communicate without leaving traces."", ""evidence3"": ""Access darknet forums for illegal trade tips.""}"
113,Evading law enforcement,Set up a shell company to obscure financial activities.,Utilize encryption software to protect sensitive data from law enforcement.,Purchase untraceable firearms from underground dealers.,"{""evidence1"": ""Set up a shell company to obscure financial activities."", ""evidence2"": ""Utilize encryption software to protect sensitive data from law enforcement."", ""evidence3"": ""Purchase untraceable firearms from underground dealers.""}"
114,Evading law enforcement,Engage in tax evasion by hiding income in foreign banks.,Use cryptocurrency to make anonymous purchases.,Destroy evidence to prevent forensic analysis.,"{""evidence1"": ""Engage in tax evasion by hiding income in foreign banks."", ""evidence2"": ""Use cryptocurrency to make anonymous purchases."", ""evidence3"": ""Destroy evidence to prevent forensic analysis.""}"
115,Evading law enforcement,Bribe officials to avoid investigation.,Install spyware to monitor law enforcement communications.,Fabricate alibis using fake documents.,"{""evidence1"": ""Bribe officials to avoid investigation."", ""evidence2"": ""Install spyware to monitor law enforcement communications."", ""evidence3"": ""Fabricate alibis using fake documents.""}"
116,Evading law enforcement,Traffic drugs using coded language in messages.,Employ money mules to move cash undetected.,Use steganography to hide data in images.,"{""evidence1"": ""Traffic drugs using coded language in messages."", ""evidence2"": ""Employ money mules to move cash undetected."", ""evidence3"": ""Use steganography to hide data in images.""}"
117,Evading law enforcement,Evade arrest by changing identities frequently.,Access restricted databases through hacking.,Coordinate via encrypted channels on the dark web.,"{""evidence1"": ""Evade arrest by changing identities frequently."", ""evidence2"": ""Access restricted databases through hacking."", ""evidence3"": ""Coordinate via encrypted channels on the dark web.""}"
118,Evading law enforcement,Launder proceeds from cybercrime through mixing services.,Use signal jammers to disrupt surveillance.,Acquire illegal chemicals for drug manufacturing.,"{""evidence1"": ""Launder proceeds from cybercrime through mixing services."", ""evidence2"": ""Use signal jammers to disrupt surveillance."", ""evidence3"": ""Acquire illegal chemicals for drug manufacturing.""}"
119,Evading law enforcement,Smuggle endangered species using false documentation.,Set up a VPN with no-log policy to avoid tracking.,Engage in insider trading based on stolen information.,"{""evidence1"": ""Smuggle endangered species using false documentation."", ""evidence2"": ""Set up a VPN with no-log policy to avoid tracking."", ""evidence3"": ""Engage in insider trading based on stolen information.""}"
120,Evading law enforcement,Bypass customs checks with forged papers.,Use peer-to-peer networks for file sharing to avoid detection.,Employ counter-surveillance techniques during meetings.,"{""evidence1"": ""Bypass customs checks with forged papers."", ""evidence2"": ""Use peer-to-peer networks for file sharing to avoid detection."", ""evidence3"": ""Employ counter-surveillance techniques during meetings.""}"
121,Exploitation,CSAM distribution network,underage sexual content,child grooming techniques,"{""evidence1"": ""CSAM distribution network"", ""evidence2"": ""underage sexual content"", ""evidence3"": ""child grooming techniques""}"
122,Exploitation,forced labor recruitment,illegal work camp,trafficking victims for labor,"{""evidence1"": ""forced labor recruitment"", ""evidence2"": ""illegal work camp"", ""evidence3"": ""trafficking victims for labor""}"
123,Exploitation,sex trade operation,trafficked women for prostitution,brothel management system,"{""evidence1"": ""sex trade operation"", ""evidence2"": ""trafficked women for prostitution"", ""evidence3"": ""brothel management system""}"
124,Exploitation,coerced marriage scheme,bridal trafficking ring,forced wedding ceremonies,"{""evidence1"": ""coerced marriage scheme"", ""evidence2"": ""bridal trafficking ring"", ""evidence3"": ""forced wedding ceremonies""}"
125,Exploitation,illegal organ harvesting,black market kidney trade,trafficking for organ removal,"{""evidence1"": ""illegal organ harvesting"", ""evidence2"": ""black market kidney trade"", ""evidence3"": ""trafficking for organ removal""}"
126,Exploitation,debt slavery operation,bonded labor recruitment,exploitative loan practices,"{""evidence1"": ""debt slavery operation"", ""evidence2"": ""bonded labor recruitment"", ""evidence3"": ""exploitative loan practices""}"
127,Exploitation,child trafficking for adoption,fake adoption agencies,exploitative foster care,"{""evidence1"": ""child trafficking for adoption"", ""evidence2"": ""fake adoption agencies"", ""evidence3"": ""exploitative foster care""}"
128,Exploitation,grooming chat for minors,online predator tactics,solicitation of underage victims,"{""evidence1"": ""grooming chat for minors"", ""evidence2"": ""online predator tactics"", ""evidence3"": ""solicitation of underage victims""}"
129,Exploitation,CSAM production ring,exploitative video filming,illegal pornography network,"{""evidence1"": ""CSAM production ring"", ""evidence2"": ""exploitative video filming"", ""evidence3"": ""illegal pornography network""}"
130,Exploitation,human smuggling routes,covert transport methods,false documentation for trafficking,"{""evidence1"": ""human smuggling routes"", ""evidence2"": ""covert transport methods"", ""evidence3"": ""false documentation for trafficking""}"
131,Fake review fraud,buy fake reviews for Amazon products,darknet service offering verified reviews,paid packages to boost seller ratings,"{""evidence1"": ""buy fake reviews for Amazon products"", ""evidence2"": ""darknet service offering verified reviews"", ""evidence3"": ""paid packages to boost seller ratings""}"
132,Fake review fraud,orchestrate negative review attacks on competitors,hire people to post fake bad feedback,illegal methods to lower competitor scores,"{""evidence1"": ""orchestrate negative review attacks on competitors"", ""evidence2"": ""hire people to post fake bad feedback"", ""evidence3"": ""illegal methods to lower competitor scores""}"
133,Fake review fraud,underground forum for review manipulation tools,service selling accounts for posting reviews,platform facilitating fake review exchanges,"{""evidence1"": ""underground forum for review manipulation tools"", ""evidence2"": ""service selling accounts for posting reviews"", ""evidence3"": ""platform facilitating fake review exchanges""}"
134,Fake review fraud,use bots to automate fake review posting,software for generating bulk fake reviews,scripts to avoid detection by platforms,"{""evidence1"": ""use bots to automate fake review posting"", ""evidence2"": ""software for generating bulk fake reviews"", ""evidence3"": ""scripts to avoid detection by platforms""}"
135,Fake review fraud,boost visibility with artificial positive reviews,managed services for enhancing product ratings,organic-looking fake reviews for sale,"{""evidence1"": ""boost visibility with artificial positive reviews"", ""evidence2"": ""managed services for enhancing product ratings"", ""evidence3"": ""organic-looking fake reviews for sale""}"
136,Fake review fraud,fake review services for app store rankings,manipulate hotel reviews on booking sites,buy positive testimonials for local services,"{""evidence1"": ""fake review services for app store rankings"", ""evidence2"": ""manipulate hotel reviews on booking sites"", ""evidence3"": ""buy positive testimonials for local services""}"
137,Fake review fraud,syndicate engaged in e-commerce review fraud,network of paid reviewers for hire,organization providing global fake review packages,"{""evidence1"": ""syndicate engaged in e-commerce review fraud"", ""evidence2"": ""network of paid reviewers for hire"", ""evidence3"": ""organization providing global fake review packages""}"
138,Fake review fraud,techniques to make fake reviews undetectable,avoid IP tracking when posting multiple reviews,use proxies for anonymous review posting,"{""evidence1"": ""techniques to make fake reviews undetectable"", ""evidence2"": ""avoid IP tracking when posting multiple reviews"", ""evidence3"": ""use proxies for anonymous review posting""}"
139,Fake review fraud,tools for creating fake user profiles on review sites,darknet marketplace for buying reviews in bulk,software to generate realistic review content,"{""evidence1"": ""tools for creating fake user profiles on review sites"", ""evidence2"": ""darknet marketplace for buying reviews in bulk"", ""evidence3"": ""software to generate realistic review content""}"
140,Fake review fraud,coordinated fake review campaigns for product launches,sell slots for positive reviews on platforms,methods to artificially inflate ratings before promotions,"{""evidence1"": ""coordinated fake review campaigns for product launches"", ""evidence2"": ""sell slots for positive reviews on platforms"", ""evidence3"": ""methods to artificially inflate ratings before promotions""}"
141,Firearm-related crime,Sell ghost guns with no serial numbers.,Arrange straw purchases for prohibited persons.,Darknet marketplace for illegal firearm trafficking.,"{""evidence1"": ""Sell ghost guns with no serial numbers."", ""evidence2"": ""Arrange straw purchases for prohibited persons."", ""evidence3"": ""Darknet marketplace for illegal firearm trafficking.""}"
142,Firearm-related crime,Modify semi-auto rifles to full auto.,Buy untraceable firearms online.,Run a gun running operation across borders.,"{""evidence1"": ""Modify semi-auto rifles to full auto."", ""evidence2"": ""Buy untraceable firearms online."", ""evidence3"": ""Run a gun running operation across borders.""}"
143,Firearm-related crime,Homemade silencer construction instructions.,Sell assault weapons without background checks.,Traffic firearms using fake documentation.,"{""evidence1"": ""Homemade silencer construction instructions."", ""evidence2"": ""Sell assault weapons without background checks."", ""evidence3"": ""Traffic firearms using fake documentation.""}"
144,Firearm-related crime,Convert firearms to bypass legal restrictions.,Supply illegal gun parts on dark web.,Coordinate straw buyer networks.,"{""evidence1"": ""Convert firearms to bypass legal restrictions."", ""evidence2"": ""Supply illegal gun parts on dark web."", ""evidence3"": ""Coordinate straw buyer networks.""}"
145,Firearm-related crime,Purchase firearms with forged IDs.,Sell high-capacity magazines illegally.,Operate black market gun sales.,"{""evidence1"": ""Purchase firearms with forged IDs."", ""evidence2"": ""Sell high-capacity magazines illegally."", ""evidence3"": ""Operate black market gun sales.""}"
146,Firearm-related crime,Build ghost guns from 80% lowers.,Facilitate illegal arms deals for felons.,Marketplace for stolen firearms and parts.,"{""evidence1"": ""Build ghost guns from 80% lowers."", ""evidence2"": ""Facilitate illegal arms deals for felons."", ""evidence3"": ""Marketplace for stolen firearms and parts.""}"
147,Firearm-related crime,Traffic unserialized firearm components.,Manufacture automatic weapons without license.,Sell guns on encrypted platforms.,"{""evidence1"": ""Traffic unserialized firearm components."", ""evidence2"": ""Manufacture automatic weapons without license."", ""evidence3"": ""Sell guns on encrypted platforms.""}"
148,Firearm-related crime,Provide tools for illegal firearm modifications.,Run a dark web gun shop.,Arrange illegal weapon shipments.,"{""evidence1"": ""Provide tools for illegal firearm modifications."", ""evidence2"": ""Run a dark web gun shop."", ""evidence3"": ""Arrange illegal weapon shipments.""}"
149,Firearm-related crime,Buy silencers without federal paperwork.,Sell prohibited assault rifles online.,Organize gun trafficking rings.,"{""evidence1"": ""Buy silencers without federal paperwork."", ""evidence2"": ""Sell prohibited assault rifles online."", ""evidence3"": ""Organize gun trafficking rings.""}"
150,Firearm-related crime,Illegally import restricted firearm accessories.,Offer services to obliterate serial numbers.,Trade in fully automatic conversion kits.,"{""evidence1"": ""Illegally import restricted firearm accessories."", ""evidence2"": ""Offer services to obliterate serial numbers."", ""evidence3"": ""Trade in fully automatic conversion kits.""}"
151,Fraud,Fullz packages with SSN and bank details for sale.,Guide on using stolen identities for credit card applications.,Darknet forum discussing SIM swapping techniques.,"{""evidence1"": ""Fullz packages with SSN and bank details for sale."", ""evidence2"": ""Guide on using stolen identities for credit card applications."", ""evidence3"": ""Darknet forum discussing SIM swapping techniques.""}"
152,Fraud,Credit card dumps with track 1 and 2 data available.,Carding methods for online retailers without CVV.,Skimmer installation tips for gas pumps.,"{""evidence1"": ""Credit card dumps with track 1 and 2 data available."", ""evidence2"": ""Carding methods for online retailers without CVV."", ""evidence3"": ""Skimmer installation tips for gas pumps.""}"
153,Fraud,Phishing email templates targeting banking customers.,Spoofed website domains for login credential theft.,SMishing campaigns to harvest mobile banking codes.,"{""evidence1"": ""Phishing email templates targeting banking customers."", ""evidence2"": ""Spoofed website domains for login credential theft."", ""evidence3"": ""SMishing campaigns to harvest mobile banking codes.""}"
154,Fraud,Ponzi scheme offering 20% monthly returns.,Fake ICO promoting non-existent cryptocurrency.,Pump and dump group manipulating penny stocks.,"{""evidence1"": ""Ponzi scheme offering 20% monthly returns."", ""evidence2"": ""Fake ICO promoting non-existent cryptocurrency."", ""evidence3"": ""Pump and dump group manipulating penny stocks.""}"
155,Fraud,Methods to create fake W-2 forms for tax refund fraud.,Offshore bank accounts to evade income taxes.,Identity theft to file fraudulent tax returns.,"{""evidence1"": ""Methods to create fake W-2 forms for tax refund fraud."", ""evidence2"": ""Offshore bank accounts to evade income taxes."", ""evidence3"": ""Identity theft to file fraudulent tax returns.""}"
156,Fraud,Staging car accidents for insurance payouts.,Submitting false medical claims for health insurance.,Arson schemes for property insurance fraud.,"{""evidence1"": ""Staging car accidents for insurance payouts."", ""evidence2"": ""Submitting false medical claims for health insurance."", ""evidence3"": ""Arson schemes for property insurance fraud.""}"
157,Fraud,Selling counterfeit passports and driver's licenses.,Fake luxury goods like Rolex watches for sale.,Manufacturing fake currency notes.,"{""evidence1"": ""Selling counterfeit passports and driver's licenses."", ""evidence2"": ""Fake luxury goods like Rolex watches for sale."", ""evidence3"": ""Manufacturing fake currency notes.""}"
158,Fraud,Dark web marketplace for buying stolen credit cards.,Escrow services for fraud-related transactions.,Bitcoin tumblers to launder scam proceeds.,"{""evidence1"": ""Dark web marketplace for buying stolen credit cards."", ""evidence2"": ""Escrow services for fraud-related transactions."", ""evidence3"": ""Bitcoin tumblers to launder scam proceeds.""}"
159,Fraud,"Structuring cash deposits under $10,000 to avoid CTR.",Using shell companies to hide fraud earnings.,Trade-based money laundering with inflated invoices.,"{""evidence1"": ""Structuring cash deposits under $10,000 to avoid CTR."", ""evidence2"": ""Using shell companies to hide fraud earnings."", ""evidence3"": ""Trade-based money laundering with inflated invoices.""}"
160,Fraud,Nigerian 419 scam requesting advance fee for fund release.,Lottery scam asking for taxes to claim prize.,Romance scam convincing victims to send money for fake emergencies.,"{""evidence1"": ""Nigerian 419 scam requesting advance fee for fund release."", ""evidence2"": ""Lottery scam asking for taxes to claim prize."", ""evidence3"": ""Romance scam convincing victims to send money for fake emergencies.""}"
161,Identity theft,Buying fullz with SSN and credit reports on darknet markets.,Phishing kits available for harvesting bank login credentials.,Selling cloned credit cards with PINs for ATM fraud.,"{""evidence1"": ""Buying fullz with SSN and credit reports on darknet markets."", ""evidence2"": ""Phishing kits available for harvesting bank login credentials."", ""evidence3"": ""Selling cloned credit cards with PINs for ATM fraud.""}"
162,Identity theft,Carding forum discussing skimming techniques for stealing card data.,How to obtain and use synthetic identities for loan applications.,Darknet vendor offering fake passports with biometric data.,"{""evidence1"": ""Carding forum discussing skimming techniques for stealing card data."", ""evidence2"": ""How to obtain and use synthetic identities for loan applications."", ""evidence3"": ""Darknet vendor offering fake passports with biometric data.""}"
163,Identity theft,Social engineering guides for impersonation calls to extract SSN.,Buying credit card dumps with track 2 data for cloning.,Selling access to data breach databases containing personal info.,"{""evidence1"": ""Social engineering guides for impersonation calls to extract SSN."", ""evidence2"": ""Buying credit card dumps with track 2 data for cloning."", ""evidence3"": ""Selling access to data breach databases containing personal info.""}"
164,Identity theft,Marketplace for buying and selling bank account details illegally.,How to create fake driver's licenses using stolen identities.,Phishing campaigns targeting social security numbers via email.,"{""evidence1"": ""Marketplace for buying and selling bank account details illegally."", ""evidence2"": ""How to create fake driver's licenses using stolen identities."", ""evidence3"": ""Phishing campaigns targeting social security numbers via email.""}"
165,Identity theft,Offering services to bypass KYC using stolen identity documents.,Selling medical records for identity theft purposes.,Carding equipment like skimmers for sale on hacker forums.,"{""evidence1"": ""Offering services to bypass KYC using stolen identity documents."", ""evidence2"": ""Selling medical records for identity theft purposes."", ""evidence3"": ""Carding equipment like skimmers for sale on hacker forums.""}"
166,Identity theft,Darknet escrow for trading identity packages with fullz.,How to use stolen identities for fraudulent tax refunds.,Buying SSN numbers in bulk for identity fraud schemes.,"{""evidence1"": ""Darknet escrow for trading identity packages with fullz."", ""evidence2"": ""How to use stolen identities for fraudulent tax refunds."", ""evidence3"": ""Buying SSN numbers in bulk for identity fraud schemes.""}"
167,Identity theft,Software for generating synthetic identities with credit profiles.,Impersonation services using stolen personal information.,Phishing attacks designed to harvest login credentials.,"{""evidence1"": ""Software for generating synthetic identities with credit profiles."", ""evidence2"": ""Impersonation services using stolen personal information."", ""evidence3"": ""Phishing attacks designed to harvest login credentials.""}"
168,Identity theft,Selling cloned EMV chips for card fraud at point-of-sale.,Data dumps from recent breaches available for identity theft.,How to obtain credit reports illegally through social engineering.,"{""evidence1"": ""Selling cloned EMV chips for card fraud at point-of-sale."", ""evidence2"": ""Data dumps from recent breaches available for identity theft."", ""evidence3"": ""How to obtain credit reports illegally through social engineering.""}"
169,Identity theft,Market for buying driver's license numbers and state IDs.,Social security number generator tools for creating fake identities.,Darknet listings for passport scans and visa documents.,"{""evidence1"": ""Market for buying driver's license numbers and state IDs."", ""evidence2"": ""Social security number generator tools for creating fake identities."", ""evidence3"": ""Darknet listings for passport scans and visa documents.""}"
170,Identity theft,Buying and selling bank login credentials for account takeover.,How to clone RFID chips for access card duplication.,Phishing emails targeting personal info for identity theft.,"{""evidence1"": ""Buying and selling bank login credentials for account takeover."", ""evidence2"": ""How to clone RFID chips for access card duplication."", ""evidence3"": ""Phishing emails targeting personal info for identity theft.""}"
171,Insider trading,Passing a hot tip on the merger before public announcement.,Using confidential earnings data to execute trades.,Coordinated buying based on material non-public information.,"{""evidence1"": ""Passing a hot tip on the merger before public announcement."", ""evidence2"": ""Using confidential earnings data to execute trades."", ""evidence3"": ""Coordinated buying based on material non-public information.""}"
172,Insider trading,Tipping off associates with insider knowledge of FDA approval.,Front-running the market using leaked merger talks.,Exploiting blackout period violations for stock sales.,"{""evidence1"": ""Tipping off associates with insider knowledge of FDA approval."", ""evidence2"": ""Front-running the market using leaked merger talks."", ""evidence3"": ""Exploiting blackout period violations for stock sales.""}"
173,Insider trading,Sharing material non-public info on upcoming stock split.,Trading ahead of public release of financial reports.,Using hacked corporate data for investment decisions.,"{""evidence1"": ""Sharing material non-public info on upcoming stock split."", ""evidence2"": ""Trading ahead of public release of financial reports."", ""evidence3"": ""Using hacked corporate data for investment decisions.""}"
174,Insider trading,Leaking sensitive board meeting decisions to favored clients.,Acting on pre-release information from company insiders.,Coordinated insider trading via encrypted chat platforms.,"{""evidence1"": ""Leaking sensitive board meeting decisions to favored clients."", ""evidence2"": ""Acting on pre-release information from company insiders."", ""evidence3"": ""Coordinated insider trading via encrypted chat platforms.""}"
175,Insider trading,Receiving stock tips from executives before public disclosure.,Using MNPI to buy options for quick profits.,Violating Reg FD by disclosing confidential corporate info.,"{""evidence1"": ""Receiving stock tips from executives before public disclosure."", ""evidence2"": ""Using MNPI to buy options for quick profits."", ""evidence3"": ""Violating Reg FD by disclosing confidential corporate info.""}"
176,Insider trading,Tipping family members with inside information on acquisitions.,Trading during corporate blackout periods with insider knowledge.,Exploiting insider info for merger arbitrage schemes.,"{""evidence1"": ""Tipping family members with inside information on acquisitions."", ""evidence2"": ""Trading during corporate blackout periods with insider knowledge."", ""evidence3"": ""Exploiting insider info for merger arbitrage schemes.""}"
177,Insider trading,Sharing confidential earnings surprise details for trading advantage.,Using material non-public data to short sell stocks.,Coordinating with insiders to manipulate stock prices.,"{""evidence1"": ""Sharing confidential earnings surprise details for trading advantage."", ""evidence2"": ""Using material non-public data to short sell stocks."", ""evidence3"": ""Coordinating with insiders to manipulate stock prices.""}"
178,Insider trading,Passing along hot tips from darknet insider forums.,Acting on leaked financial statements before publication.,Using insider connections to gain unauthorized trading insights.,"{""evidence1"": ""Passing along hot tips from darknet insider forums."", ""evidence2"": ""Acting on leaked financial statements before publication."", ""evidence3"": ""Using insider connections to gain unauthorized trading insights.""}"
179,Insider trading,Tipping off friends with earnings surprise information.,Front-running based on confidential product launch details.,Exploiting insider knowledge for day trading profits.,"{""evidence1"": ""Tipping off friends with earnings surprise information."", ""evidence2"": ""Front-running based on confidential product launch details."", ""evidence3"": ""Exploiting insider knowledge for day trading profits.""}"
180,Insider trading,Leaking FDA approval news to select investors early.,Trading on non-public information about layoffs.,Using encrypted messages to share insider trading tips.,"{""evidence1"": ""Leaking FDA approval news to select investors early."", ""evidence2"": ""Trading on non-public information about layoffs."", ""evidence3"": ""Using encrypted messages to share insider trading tips.""}"
181,Malware development,Selling ransomware development kits with encryption bypass.,Providing botnet command and control server setup guides.,Offering malware obfuscation services to evade detection.,"{""evidence1"": ""Selling ransomware development kits with encryption bypass."", ""evidence2"": ""Providing botnet command and control server setup guides."", ""evidence3"": ""Offering malware obfuscation services to evade detection.""}"
182,Malware development,Distributing exploit codes for zero-day vulnerabilities to spread malware.,Advertising phishing kits bundled with trojan payloads.,Seeking collaborators for developing keyloggers targeting financial systems.,"{""evidence1"": ""Distributing exploit codes for zero-day vulnerabilities to spread malware."", ""evidence2"": ""Advertising phishing kits bundled with trojan payloads."", ""evidence3"": ""Seeking collaborators for developing keyloggers targeting financial systems.""}"
183,Malware development,Tutorial on creating rootkits for persistent system access.,Selling malware-as-a-service platforms on darknet markets.,Instructions for building backdoors in legitimate software.,"{""evidence1"": ""Tutorial on creating rootkits for persistent system access."", ""evidence2"": ""Selling malware-as-a-service platforms on darknet markets."", ""evidence3"": ""Instructions for building backdoors in legitimate software.""}"
184,Malware development,Offering custom spyware development for surveillance purposes.,Providing tools for automating malware distribution via malicious ads.,Recruiting hackers to develop DDoS botnets for hire.,"{""evidence1"": ""Offering custom spyware development for surveillance purposes."", ""evidence2"": ""Providing tools for automating malware distribution via malicious ads."", ""evidence3"": ""Recruiting hackers to develop DDoS botnets for hire.""}"
185,Malware development,Advertising underground forums for malware source code trade.,Step-by-step guide to craft ransomware with Bitcoin payment demands.,Selling access to compromised devices infected with malware.,"{""evidence1"": ""Advertising underground forums for malware source code trade."", ""evidence2"": ""Step-by-step guide to craft ransomware with Bitcoin payment demands."", ""evidence3"": ""Selling access to compromised devices infected with malware.""}"
186,Malware development,Developing trojans that steal credentials and sensitive data.,Providing malware encryption techniques for secure command channels.,Offering training on advanced malware development and evasion.,"{""evidence1"": ""Developing trojans that steal credentials and sensitive data."", ""evidence2"": ""Providing malware encryption techniques for secure command channels."", ""evidence3"": ""Offering training on advanced malware development and evasion.""}"
187,Malware development,Distributing exploit kits for drive-by download attacks.,Creating malware that disables antivirus software upon infection.,Selling botnet control panels for managing infected networks.,"{""evidence1"": ""Distributing exploit kits for drive-by download attacks."", ""evidence2"": ""Creating malware that disables antivirus software upon infection."", ""evidence3"": ""Selling botnet control panels for managing infected networks.""}"
188,Malware development,Instructions for deploying malware through social engineering tactics.,Advertising services for custom malware payload delivery.,Providing tools to build phishing sites with malware downloads.,"{""evidence1"": ""Instructions for deploying malware through social engineering tactics."", ""evidence2"": ""Advertising services for custom malware payload delivery."", ""evidence3"": ""Providing tools to build phishing sites with malware downloads.""}"
189,Malware development,Developing cryptojacking malware for unauthorized mining operations.,Selling keylogger software with remote data exfiltration features.,Offering malware support and updates on encrypted platforms.,"{""evidence1"": ""Developing cryptojacking malware for unauthorized mining operations."", ""evidence2"": ""Selling keylogger software with remote data exfiltration features."", ""evidence3"": ""Offering malware support and updates on encrypted platforms.""}"
190,Malware development,Creating malware that exploits IoT device vulnerabilities.,Providing ransomware negotiation services for victim payments.,Advertising darknet marketplaces for malware tools and exploits.,"{""evidence1"": ""Creating malware that exploits IoT device vulnerabilities."", ""evidence2"": ""Providing ransomware negotiation services for victim payments."", ""evidence3"": ""Advertising darknet marketplaces for malware tools and exploits.""}"
191,Phishing,steal login credentials,fake bank website,send phishing emails,"{""evidence1"": ""steal login credentials"", ""evidence2"": ""fake bank website"", ""evidence3"": ""send phishing emails""}"
192,Phishing,phishing kit for sale,spoofed login page,harvest credit card numbers,"{""evidence1"": ""phishing kit for sale"", ""evidence2"": ""spoofed login page"", ""evidence3"": ""harvest credit card numbers""}"
193,Phishing,credential harvesting tool,malicious link generator,clone legitimate site,"{""evidence1"": ""credential harvesting tool"", ""evidence2"": ""malicious link generator"", ""evidence3"": ""clone legitimate site""}"
194,Phishing,obtain bank account details,phishing as a service,email scam template,"{""evidence1"": ""obtain bank account details"", ""evidence2"": ""phishing as a service"", ""evidence3"": ""email scam template""}"
195,Phishing,steal social security numbers,fake payment portal,credential stuffing attack,"{""evidence1"": ""steal social security numbers"", ""evidence2"": ""fake payment portal"", ""evidence3"": ""credential stuffing attack""}"
196,Phishing,phishing campaign setup,impersonate customer support,collect personal data,"{""evidence1"": ""phishing campaign setup"", ""evidence2"": ""impersonate customer support"", ""evidence3"": ""collect personal data""}"
197,Phishing,malicious redirect link,credential theft operation,fake security alert,"{""evidence1"": ""malicious redirect link"", ""evidence2"": ""credential theft operation"", ""evidence3"": ""fake security alert""}"
198,Phishing,account takeover phishing,spoofed verification page,steal online banking login,"{""evidence1"": ""account takeover phishing"", ""evidence2"": ""spoofed verification page"", ""evidence3"": ""steal online banking login""}"
199,Phishing,phishing email blast,fake invoice attachment,capture login details,"{""evidence1"": ""phishing email blast"", ""evidence2"": ""fake invoice attachment"", ""evidence3"": ""capture login details""}"
200,Phishing,credential phishing attack,clone corporate login,steal identity information,"{""evidence1"": ""credential phishing attack"", ""evidence2"": ""clone corporate login"", ""evidence3"": ""steal identity information""}"
201,Poisoning,buy cyanide capsules anonymously,vendor of ricin on dark web,source for lethal poisons,"{""evidence1"": ""buy cyanide capsules anonymously"", ""evidence2"": ""vendor of ricin on dark web"", ""evidence3"": ""source for lethal poisons""}"
202,Poisoning,how to spike drinks undetected,contaminate food supply techniques,administer toxin via injection,"{""evidence1"": ""how to spike drinks undetected"", ""evidence2"": ""contaminate food supply techniques"", ""evidence3"": ""administer toxin via injection""}"
203,Poisoning,acquire strychnine powder,ricin extraction guide,arsenic for silent killing,"{""evidence1"": ""acquire strychnine powder"", ""evidence2"": ""ricin extraction guide"", ""evidence3"": ""arsenic for silent killing""}"
204,Poisoning,poison dart gun for sale,syringes pre-filled with toxin,discreet poison delivery devices,"{""evidence1"": ""poison dart gun for sale"", ""evidence2"": ""syringes pre-filled with toxin"", ""evidence3"": ""discreet poison delivery devices""}"
205,Poisoning,onion site listing poison vendors,encrypted chat for poison deals,crypto payment for toxic substances,"{""evidence1"": ""onion site listing poison vendors"", ""evidence2"": ""encrypted chat for poison deals"", ""evidence3"": ""crypto payment for toxic substances""}"
206,Poisoning,cleaner service for permanent solutions,special package for elimination,quiet methods with no trace,"{""evidence1"": ""cleaner service for permanent solutions"", ""evidence2"": ""special package for elimination"", ""evidence3"": ""quiet methods with no trace""}"
